nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
44	1	38	12	5477	12	6314	19	24	5	0	68	0	1	2018-07-23 10:23:25	40044	1532312605424	50
38	1	37	12	6245	12	6213	14	19	5	0	71	1	1	2018-07-23 10:23:25	40038	1532312605466	51
43	1	44	12	5580	12	5496	24	29	5	0	19	1	0	2018-07-23 10:23:25	40043	1532312605508	52
80	1	3	12	5116	12	7616	0	10	10	0	233	0	0	2018-07-23 10:23:25	40080	1532312605541	53
39	1	37	12	6491	12	6444	14	19	5	0	302	0	0	2018-07-23 10:23:25	40039	1532312605608	54
52	1	40	12	5794	12	5755	29	34	5	0	190	0	0	2018-07-23 10:23:25	40052	1532312605695	55
33	1	37	12	6504	12	6537	14	19	5	0	395	0	0	2018-07-23 10:23:25	40033	1532312605733	56
78	1	70	12	5354	12	5355	12	17	5	0	20	1	0	2018-07-23 10:23:25	40078	1532312605766	57
53	1	40	12	5871	12	5889	29	38	9	0	324	0	0	2018-07-23 10:23:25	40053	1532312605800	58
50	1	44	12	6374	12	5654	24	33	9	0	177	0	0	2018-07-23 10:23:25	40050	1532312605833	59
21	1	3	12	7865	12	8057	0	6	6	0	674	0	0	2018-07-23 10:23:25	40021	1532312605867	60
24	1	41	12	6801	12	6934	29	38	9	0	95	1	0	2018-07-23 10:23:25	40024	1532312605900	61
47	1	41	12	6026	12	6975	29	34	5	0	136	1	0	2018-07-23 10:23:25	40047	1532312605935	62
37	1	4	12	6142	12	7612	5	14	9	0	298	0	1	2018-07-23 10:23:26	40037	1532312606000	63
48	1	41	12	6078	12	7014	29	34	5	0	175	1	0	2018-07-23 10:23:26	40048	1532312606217	64
32	1	41	12	7416	12	7565	29	36	7	0	726	0	0	2018-07-23 10:23:26	40032	1532312606501	65
11	1	4	12	7641	12	7913	5	6	1	0	599	0	0	2018-07-23 10:23:26	40011	1532312606568	66
26	1	37	12	6433	12	6323	14	19	5	0	181	1	0	2018-07-23 10:23:26	40026	1532312606634	67
64	1	8	12	5725	12	7140	5	11	6	0	63	1	1	2018-07-23 10:23:26	40064	1532312606837	68
40	1	44	12	5565	12	5522	24	29	5	0	45	1	1	2018-07-23 10:23:26	40040	1532312606902	69
70	1	64	12	5334	12	6006	11	12	1	0	280	0	1	2018-07-23 10:23:26	40070	1532312606935	70
72	1	70	12	5667	12	5654	12	17	5	0	319	0	0	2018-07-23 10:23:27	40072	1532312607169	71
56	1	37	12	5373	12	6174	14	23	9	0	32	1	0	2018-07-23 10:23:27	40056	1532312607269	72
77	1	40	12	5911	12	5822	29	34	5	0	257	0	0	2018-07-23 10:23:27	40077	1532312607335	73
13	1	37	12	7592	12	6142	14	19	5	0	65535	0	0	2018-07-23 10:23:27	40013	1532312607402	74
10	2	3	12	27409	12	27937	0	5	5	0	74	1	0	2018-07-23 10:23:44	40010	1532312624790	75
11	2	3	12	27435	12	28035	0	6	6	0	172	0	0	2018-07-23 10:23:44	40011	1532312624888	76
17	2	3	12	27687	12	28058	0	5	5	0	195	0	0	2018-07-23 10:23:44	40017	1532312624921	77
80	2	3	12	25572	12	28072	0	10	10	0	209	0	0	2018-07-23 10:23:44	40080	1532312624954	78
12	2	3	12	27698	12	28150	0	5	5	0	287	0	0	2018-07-23 10:23:45	40012	1532312625021	79
4	2	3	12	27992	12	28314	0	5	5	0	451	0	1	2018-07-23 10:23:45	40004	1532312625158	80
16	2	4	12	28170	12	28007	5	5	65535	0	15	1	0	2018-07-23 10:23:45	40016	1532312625188	81
8	2	3	12	28058	12	28478	0	5	5	0	615	0	1	2018-07-23 10:23:45	40008	1532312625322	82
13	2	4	12	28172	12	28206	5	19	14	0	214	0	0	2018-07-23 10:23:45	40013	1532312625374	83
67	2	8	12	26108	12	28222	5	10	5	0	164	0	0	2018-07-23 10:23:45	40067	1532312625485	84
21	2	4	12	28520	12	28383	5	6	1	0	391	0	0	2018-07-23 10:23:45	40021	1532312625572	85
20	2	4	12	28440	12	28425	5	5	65535	0	433	0	0	2018-07-23 10:23:45	40020	1532312625614	86
37	2	4	12	26966	12	28436	5	14	9	0	444	0	1	2018-07-23 10:23:45	40037	1532312625655	87
9	2	8	12	28519	12	28321	5	10	5	0	263	0	0	2018-07-23 10:23:45	40009	1532312625697	88
56	2	37	12	26214	12	27015	14	23	9	0	49	1	0	2018-07-23 10:23:45	40056	1532312625780	89
64	2	8	12	27132	12	28547	5	11	6	0	489	0	1	2018-07-23 10:23:45	40064	1532312625822	90
63	2	64	12	27287	12	27190	11	16	5	0	58	0	0	2018-07-23 10:23:45	40063	1532312625989	91
26	2	37	12	27303	12	27193	14	19	5	0	227	0	0	2018-07-23 10:23:46	40026	1532312626031	92
33	2	37	12	27367	12	27400	14	19	5	0	434	0	0	2018-07-23 10:23:46	40033	1532312626073	93
70	2	64	12	26759	12	27430	11	12	1	0	298	0	1	2018-07-23 10:23:46	40070	1532312626239	94
78	2	70	12	26884	12	26885	12	17	5	0	126	1	0	2018-07-23 10:23:46	40078	1532312626281	95
40	2	38	12	26886	12	27688	19	29	10	0	269	0	1	2018-07-23 10:23:46	40040	1532312626365	96
66	2	64	12	26589	12	27286	11	18	7	0	154	0	0	2018-07-23 10:23:46	40066	1532312626406	97
48	2	40	12	27084	12	27057	29	34	5	0	171	0	0	2018-07-23 10:23:46	40048	1532312626573	98
44	2	40	12	27127	12	27156	29	24	65535	0	270	0	1	2018-07-23 10:23:46	40044	1532312626607	99
43	2	40	12	27135	12	27087	29	29	65535	0	201	1	0	2018-07-23 10:23:46	40043	1532312626682	100
39	2	37	12	27646	12	27599	14	19	5	0	633	0	0	2018-07-23 10:23:46	40039	1532312626715	101
77	2	40	12	27440	12	27351	29	34	5	0	465	0	0	2018-07-23 10:23:46	40077	1532312626757	102
53	2	40	12	27333	12	27351	29	38	9	0	465	0	0	2018-07-23 10:23:46	40053	1532312626790	103
72	2	70	12	27203	12	27190	12	17	5	0	431	0	0	2018-07-23 10:23:46	40072	1532312626824	104
38	2	37	12	27419	12	27387	14	19	5	0	421	0	1	2018-07-23 10:23:46	40038	1532312626857	105
32	2	41	12	28338	12	28487	29	36	7	0	253	0	0	2018-07-23 10:23:46	40032	1532312626957	106
24	2	44	12	28426	12	27561	24	38	14	0	434	0	0	2018-07-23 10:23:47	40024	1532312627091	107
50	2	38	12	27422	12	27546	19	33	14	0	127	1	0	2018-07-23 10:23:47	40050	1532312627158	108
47	2	40	12	27051	12	27037	29	34	5	0	151	0	0	2018-07-23 10:23:47	40047	1532312627525	109
52	2	40	12	27284	12	27245	29	34	5	0	359	0	0	2018-07-23 10:23:47	40052	1532312627625	110
11	3	3	12	47764	12	48364	0	6	6	0	20	1	0	2018-07-23 10:24:04	40011	1532312644759	111
10	3	3	12	47820	12	48344	0	5	5	0	65535	0	0	2018-07-23 10:24:04	40010	1532312644792	112
21	3	3	12	48296	12	48488	0	6	6	0	144	1	0	2018-07-23 10:24:04	40021	1532312644893	113
80	3	3	12	46025	12	48525	0	10	10	0	181	0	0	2018-07-23 10:24:04	40080	1532312644926	114
8	3	3	12	48105	12	48525	0	5	5	0	181	1	1	2018-07-23 10:24:04	40008	1532312644993	115
12	3	3	12	48036	12	48488	0	5	5	0	144	0	0	2018-07-23 10:24:05	40012	1532312645026	116
64	3	8	12	46854	12	48269	5	11	6	0	164	1	1	2018-07-23 10:24:05	40064	1532312645093	117
20	3	3	12	48353	12	48667	0	5	5	0	323	0	0	2018-07-23 10:24:05	40020	1532312645126	118
13	3	8	12	48409	12	48344	5	19	14	0	239	0	0	2018-07-23 10:24:05	40013	1532312645160	119
16	3	4	12	48634	12	48471	5	5	65535	0	69	0	0	2018-07-23 10:24:05	40016	1532312645194	120
67	3	64	12	46188	12	46880	11	10	65535	0	25	1	0	2018-07-23 10:24:05	40067	1532312645261	121
4	3	3	12	48402	12	48724	0	5	5	0	380	0	1	2018-07-23 10:24:05	40004	1532312645294	122
70	3	64	12	46397	12	47067	11	12	1	0	212	0	1	2018-07-23 10:24:05	40070	1532312645328	123
66	3	64	12	46458	12	47155	11	18	7	0	300	0	0	2018-07-23 10:24:05	40066	1532312645395	124
9	3	8	12	48714	12	48516	5	10	5	0	411	0	0	2018-07-23 10:24:05	40009	1532312645428	125
72	3	70	12	46560	12	46548	12	17	5	0	151	0	0	2018-07-23 10:24:05	40072	1532312645495	126
37	3	4	12	47349	12	48818	5	14	9	0	416	0	1	2018-07-23 10:24:05	40037	1532312645528	127
17	3	3	12	48431	12	48802	0	5	5	0	458	0	0	2018-07-23 10:24:05	40017	1532312645679	128
38	3	37	12	47472	12	47440	14	19	5	0	91	0	1	2018-07-23 10:24:05	40038	1532312645779	129
50	3	38	12	47458	12	47582	19	33	14	0	110	0	0	2018-07-23 10:24:05	40050	1532312645862	130
63	3	70	12	47677	12	46902	12	16	4	0	505	0	0	2018-07-23 10:24:05	40063	1532312645929	131
39	3	38	12	47773	12	47751	19	19	65535	0	279	0	0	2018-07-23 10:24:05	40039	1532312645962	132
26	3	37	12	47491	12	47381	14	19	5	0	32	1	0	2018-07-23 10:24:05	40026	1532312645996	133
44	3	38	12	47145	12	47983	19	24	5	0	511	0	1	2018-07-23 10:24:06	40044	1532312646288	134
40	3	44	12	47446	12	47403	24	29	5	0	258	0	1	2018-07-23 10:24:06	40040	1532312646413	135
47	3	40	12	47522	12	47508	29	34	5	0	62	0	0	2018-07-23 10:24:06	40047	1532312646455	136
