nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
4	2	12	33676	2018-07-23 15:57:56	40004	1532332676905	84
8	2	12	33946	2018-07-23 15:57:57	40008	1532332677038	85
41	2	12	32078	2018-07-23 15:57:57	40041	1532332677072	86
39	2	12	32779	2018-07-23 15:57:57	40039	1532332677105	87
71	2	12	32761	2018-07-23 15:57:57	40071	1532332677205	88
16	2	12	34254	2018-07-23 15:57:57	40016	1532332677322	89
10	2	12	34213	2018-07-23 15:57:57	40010	1532332677389	90
26	2	12	32205	2018-07-23 15:57:57	40026	1532332677422	91
67	2	12	32182	2018-07-23 15:57:57	40067	1532332677514	92
64	2	12	32610	2018-07-23 15:57:57	40064	1532332677648	93
75	2	12	33190	2018-07-23 15:57:57	40075	1532332677681	94
80	2	12	31833	2018-07-23 15:57:57	40080	1532332677781	95
52	2	12	32656	2018-07-23 15:57:57	40052	1532332677815	96
63	2	12	32708	2018-07-23 15:57:57	40063	1532332677848	97
72	2	12	32964	2018-07-23 15:57:57	40072	1532332677915	98
53	2	12	33495	2018-07-23 15:57:57	40053	1532332677948	99
50	2	12	32293	2018-07-23 15:57:57	40050	1532332677981	100
69	2	12	32929	2018-07-23 15:57:58	40069	1532332678015	101
44	2	12	32748	2018-07-23 15:57:58	40044	1532332678048	102
48	2	12	32988	2018-07-23 15:57:58	40048	1532332678082	103
43	2	12	33315	2018-07-23 15:57:58	40043	1532332678115	104
24	2	12	33013	2018-07-23 15:57:58	40024	1532332678148	105
77	2	12	32898	2018-07-23 15:57:58	40077	1532332678182	106
40	2	12	32005	2018-07-23 15:57:58	40040	1532332678249	107
66	2	12	32758	2018-07-23 15:57:58	40066	1532332678349	108
70	2	12	32209	2018-07-23 15:57:58	40070	1532332678382	109
21	2	12	33758	2018-07-23 15:57:58	40021	1532332678416	110
56	2	12	32069	2018-07-23 15:57:58	40056	1532332678449	111
10	3	12	54524	2018-07-23 15:58:15	40010	1532332695958	112
17	3	12	54048	2018-07-23 15:58:16	40017	1532332696033	113
12	3	12	54165	2018-07-23 15:58:16	40012	1532332696100	114
9	3	12	54324	2018-07-23 15:58:16	40009	1532332696200	115
16	3	12	54199	2018-07-23 15:58:16	40016	1532332696267	116
11	3	12	54248	2018-07-23 15:58:16	40011	1532332696609	117
80	3	12	52325	2018-07-23 15:58:16	40080	1532332696709	118
64	3	12	52422	2018-07-23 15:58:16	40064	1532332696909	119
13	3	12	54657	2018-07-23 15:58:16	40013	1532332696976	120
26	3	12	52640	2018-07-23 15:58:17	40026	1532332697009	121
4	3	12	54138	2018-07-23 15:58:17	40004	1532332697043	122
77	3	12	52856	2018-07-23 15:58:17	40077	1532332697178	123
63	3	12	52568	2018-07-23 15:58:17	40063	1532332697211	124
33	3	12	52644	2018-07-23 15:58:17	40033	1532332697244	125
72	3	12	53054	2018-07-23 15:58:17	40072	1532332697278	126
47	3	12	52754	2018-07-23 15:58:17	40047	1532332697378	127
44	3	12	52669	2018-07-23 15:58:17	40044	1532332697445	128
39	3	12	54006	2018-07-23 15:58:17	40039	1532332697478	129
8	3	12	54431	2018-07-23 15:58:17	40008	1532332697662	130
69	3	12	53443	2018-07-23 15:58:17	40069	1532332697695	131
56	3	12	52583	2018-07-23 15:58:17	40056	1532332697728	132
70	3	12	52649	2018-07-23 15:58:17	40070	1532332697762	133
53	3	12	52932	2018-07-23 15:58:17	40053	1532332697854	134
40	3	12	52457	2018-07-23 15:58:17	40040	1532332697887	135
43	3	12	52889	2018-07-23 15:58:17	40043	1532332697954	136
41	3	12	52293	2018-07-23 15:58:17	40041	1532332697987	137
71	3	12	53613	2018-07-23 15:58:18	40071	1532332698021	138
67	3	12	52719	2018-07-23 15:58:18	40067	1532332698087	139
21	3	12	54493	2018-07-23 15:58:18	40021	1532332698121	140
75	3	12	53570	2018-07-23 15:58:18	40075	1532332698188	141
78	3	12	52663	2018-07-23 15:58:18	40078	1532332698254	142
24	3	12	53710	2018-07-23 15:58:18	40024	1532332698354	143
37	3	12	53477	2018-07-23 15:58:18	40037	1532332698388	144
66	3	12	52788	2018-07-23 15:58:18	40066	1532332698421	145
48	3	12	52448	2018-07-23 15:58:18	40048	1532332698455	146
50	3	12	52861	2018-07-23 15:58:18	40050	1532332698488	147
20	3	12	54265	2018-07-23 15:58:18	40020	1532332698521	148
52	3	12	52462	2018-07-23 15:58:18	40052	1532332698555	149
38	3	12	53408	2018-07-23 15:58:18	40038	1532332698588	150
17	4	13	8955	2018-07-23 15:58:35	40017	1532332715822	151
16	4	13	9141	2018-07-23 15:58:36	40016	1532332716075	152
10	4	13	9501	2018-07-23 15:58:36	40010	1532332716114	153
9	4	13	9268	2018-07-23 15:58:36	40009	1532332716573	154
21	4	13	9490	2018-07-23 15:58:36	40021	1532332716790	155
64	4	13	7386	2018-07-23 15:58:36	40064	1532332716882	156
4	4	13	9061	2018-07-23 15:58:36	40004	1532332716916	157
56	4	13	7039	2018-07-23 15:58:37	40056	1532332717016	158
26	4	13	7764	2018-07-23 15:58:37	40026	1532332717116	159
11	4	13	9151	2018-07-23 15:58:37	40011	1532332717149	160
12	4	13	9105	2018-07-23 15:58:37	40012	1532332717249	161
39	4	13	8490	2018-07-23 15:58:37	40039	1532332717283	162
24	4	13	8194	2018-07-23 15:58:37	40024	1532332717349	163
40	4	13	7415	2018-07-23 15:58:37	40040	1532332717383	164
47	4	13	7806	2018-07-23 15:58:37	40047	1532332717416	165
63	4	13	7870	2018-07-23 15:58:37	40063	1532332717550	166
41	4	13	7565	2018-07-23 15:58:37	40041	1532332717583	167
37	4	13	7983	2018-07-23 15:58:37	40037	1532332717617	168
38	4	13	8435	2018-07-23 15:58:37	40038	1532332717683	169
80	4	13	7253	2018-07-23 15:58:37	40080	1532332717717	170
50	4	13	7852	2018-07-23 15:58:37	40050	1532332717784	171
53	4	13	8538	2018-07-23 15:58:37	40053	1532332717817	172
33	4	13	7612	2018-07-23 15:58:37	40033	1532332717850	173
13	4	13	9373	2018-07-23 15:58:37	40013	1532332717884	174
8	4	13	9370	2018-07-23 15:58:37	40008	1532332717934	175
43	4	13	8460	2018-07-23 15:58:38	40043	1532332718001	176
77	4	13	7803	2018-07-23 15:58:38	40077	1532332718034	177
69	4	13	8380	2018-07-23 15:58:38	40069	1532332718067	178
67	4	13	7667	2018-07-23 15:58:38	40067	1532332718193	179
20	4	13	9186	2018-07-23 15:58:38	40020	1532332718228	180
75	4	13	8411	2018-07-23 15:58:38	40075	1532332718259	181
52	4	13	7890	2018-07-23 15:58:38	40052	1532332718326	182
66	4	13	7819	2018-07-23 15:58:38	40066	1532332718394	183
72	4	13	7579	2018-07-23 15:58:38	40072	1532332718427	184
71	4	13	7915	2018-07-23 15:58:38	40071	1532332718494	185
78	4	13	8145	2018-07-23 15:58:38	40078	1532332718528	186
44	4	13	7585	2018-07-23 15:58:38	40044	1532332718628	187
70	4	13	7660	2018-07-23 15:58:38	40070	1532332718661	188
48	4	13	7624	2018-07-23 15:58:38	40048	1532332718728	189
17	5	13	29393	2018-07-23 15:58:55	40017	1532332735787	190
10	5	13	29903	2018-07-23 15:58:55	40010	1532332735939	191
11	5	13	29596	2018-07-23 15:58:56	40011	1532332736004	192
20	5	13	29633	2018-07-23 15:58:56	40020	1532332736071	193
16	5	13	29578	2018-07-23 15:58:56	40016	1532332736104	194
12	5	13	29597	2018-07-23 15:58:56	40012	1532332736238	195
72	5	13	28266	2018-07-23 15:58:56	40072	1532332736488	196
39	5	13	29226	2018-07-23 15:58:56	40039	1532332736697	197
21	5	13	29929	2018-07-23 15:58:56	40021	1532332736739	198
8	5	13	29944	2018-07-23 15:58:56	40008	1532332736864	199
67	5	13	28029	2018-07-23 15:58:57	40067	1532332737081	200
4	5	13	29545	2018-07-23 15:58:57	40004	1532332737114	201
80	5	13	28243	2018-07-23 15:58:57	40080	1532332737206	202
77	5	13	28363	2018-07-23 15:58:57	40077	1532332737306	203
40	5	13	27963	2018-07-23 15:58:57	40040	1532332737339	204
56	5	13	27899	2018-07-23 15:58:57	40056	1532332737373	205
43	5	13	28494	2018-07-23 15:58:57	40043	1532332737406	206
24	5	13	29745	2018-07-23 15:58:57	40024	1532332737440	207
37	5	13	28788	2018-07-23 15:58:57	40037	1532332737507	208
13	5	13	30306	2018-07-23 15:58:57	40013	1532332737540	209
70	5	13	27854	2018-07-23 15:58:57	40070	1532332737573	210
44	5	13	28075	2018-07-23 15:58:57	40044	1532332737673	211
71	5	13	28297	2018-07-23 15:58:57	40071	1532332737740	212
52	5	13	28182	2018-07-23 15:58:57	40052	1532332737807	213
63	5	13	28053	2018-07-23 15:58:57	40063	1532332737907	214
53	5	13	28325	2018-07-23 15:58:58	40053	1532332738041	215
64	5	13	27953	2018-07-23 15:58:58	40064	1532332738074	216
66	5	13	28383	2018-07-23 15:58:58	40066	1532332738107	217
47	5	13	27941	2018-07-23 15:58:58	40047	1532332738141	218
33	5	13	28351	2018-07-23 15:58:58	40033	1532332738174	219
26	5	13	28601	2018-07-23 15:58:58	40026	1532332738207	220
41	5	13	27899	2018-07-23 15:58:58	40041	1532332738291	221
69	5	13	28341	2018-07-23 15:58:58	40069	1532332738391	222
48	5	13	28248	2018-07-23 15:58:58	40048	1532332738483	223
9	5	13	30260	2018-07-23 15:58:58	40009	1532332738516	224
78	5	13	28113	2018-07-23 15:58:58	40078	1532332738550	225
38	5	13	29007	2018-07-23 15:58:58	40038	1532332738583	226
50	5	13	28349	2018-07-23 15:58:58	40050	1532332738616	227
17	6	13	49875	2018-07-23 15:59:15	40017	1532332755852	228
16	6	13	50050	2018-07-23 15:59:15	40016	1532332755885	229
11	6	13	50075	2018-07-23 15:59:16	40011	1532332756069	230
12	6	13	50044	2018-07-23 15:59:16	40012	1532332756102	231
21	6	13	50369	2018-07-23 15:59:16	40021	1532332756236	232
9	6	13	50175	2018-07-23 15:59:16	40009	1532332756286	233
10	6	13	50807	2018-07-23 15:59:16	40010	1532332756453	234
20	6	13	50597	2018-07-23 15:59:16	40020	1532332756519	235
4	6	13	50008	2018-07-23 15:59:16	40004	1532332756553	236
13	6	13	50428	2018-07-23 15:59:16	40013	1532332756619	237
80	6	13	48203	2018-07-23 15:59:16	40080	1532332756686	238
8	6	13	50410	2018-07-23 15:59:16	40008	1532332756786	239
37	6	13	49493	2018-07-23 15:59:17	40037	1532332757062	240
39	6	13	49850	2018-07-23 15:59:17	40039	1532332757187	241
75	6	13	48765	2018-07-23 15:59:17	40075	1532332757229	242
40	6	13	48512	2018-07-23 15:59:17	40040	1532332757312	243
26	6	13	49301	2018-07-23 15:59:17	40026	1532332757362	244
63	6	13	48820	2018-07-23 15:59:17	40063	1532332757404	245
72	6	13	48937	2018-07-23 15:59:17	40072	1532332757487	246
70	6	13	48253	2018-07-23 15:59:17	40070	1532332757546	247
50	6	13	48997	2018-07-23 15:59:17	40050	1532332757671	248
48	6	13	48949	2018-07-23 15:59:17	40048	1532332757755	249
24	6	13	49687	2018-07-23 15:59:17	40024	1532332757788	250
43	6	13	49529	2018-07-23 15:59:17	40043	1532332757855	251
53	6	13	49502	2018-07-23 15:59:17	40053	1532332757955	252
44	6	13	49070	2018-07-23 15:59:17	40044	1532332757988	253
41	6	13	48842	2018-07-23 15:59:18	40041	1532332758022	254
56	6	13	48632	2018-07-23 15:59:18	40056	1532332758055	255
47	6	13	48629	2018-07-23 15:59:18	40047	1532332758122	256
77	6	13	48843	2018-07-23 15:59:18	40077	1532332758155	257
33	6	13	48980	2018-07-23 15:59:18	40033	1532332758189	258
52	6	13	48586	2018-07-23 15:59:18	40052	1532332758222	259
38	6	13	49801	2018-07-23 15:59:18	40038	1532332758289	260
69	6	13	48769	2018-07-23 15:59:18	40069	1532332758322	261
66	6	13	48490	2018-07-23 15:59:18	40066	1532332758356	262
71	6	13	48732	2018-07-23 15:59:18	40071	1532332758514	263
17	7	14	4781	2018-07-23 15:59:35	40017	1532332775848	264
16	7	14	4966	2018-07-23 15:59:35	40016	1532332775881	265
20	7	14	4984	2018-07-23 15:59:35	40020	1532332775915	266
11	7	14	4996	2018-07-23 15:59:35	40011	1532332775982	267
9	7	14	5244	2018-07-23 15:59:36	40009	1532332776282	268
12	7	14	4951	2018-07-23 15:59:36	40012	1532332776315	269
10	7	14	5599	2018-07-23 15:59:36	40010	1532332776349	270
71	7	14	3084	2018-07-23 15:59:36	40071	1532332776433	271
8	7	14	5370	2018-07-23 15:59:36	40008	1532332776758	272
4	7	14	4932	2018-07-23 15:59:36	40004	1532332776791	273
13	7	14	5593	2018-07-23 15:59:37	40013	1532332777160	274
53	7	14	4299	2018-07-23 15:59:37	40053	1532332777193	275
67	7	14	4058	2018-07-23 15:59:37	40067	1532332777227	276
47	7	14	3573	2018-07-23 15:59:37	40047	1532332777327	277
26	7	14	3752	2018-07-23 15:59:37	40026	1532332777427	278
52	7	14	3700	2018-07-23 15:59:37	40052	1532332777460	279
44	7	14	3462	2018-07-23 15:59:37	40044	1532332777494	280
37	7	14	4409	2018-07-23 15:59:37	40037	1532332777527	281
21	7	14	5308	2018-07-23 15:59:37	40021	1532332777560	282
69	7	14	3683	2018-07-23 15:59:37	40069	1532332777594	283
72	7	14	3735	2018-07-23 15:59:37	40072	1532332777652	284
77	7	14	3782	2018-07-23 15:59:37	40077	1532332777702	285
39	7	14	4916	2018-07-23 15:59:37	40039	1532332777744	286
