nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
44	26980	0	29259	2018-06-10 09:13:44	40044	1528593224687	1
12	1	0	41267	2018-06-10 09:13:54	40012	1528593234678	2
17	1	0	41196	2018-06-10 09:13:54	40017	1528593234870	3
9	1	0	41409	2018-06-10 09:13:54	40009	1528593234936	4
33	1	0	40374	2018-06-10 09:13:55	40033	1528593235278	5
78	1	0	40308	2018-06-10 09:13:55	40078	1528593235546	6
121	1	0	40496	2018-06-10 09:13:56	40121	1528593236046	7
38	1	0	40568	2018-06-10 09:13:56	40038	1528593236171	8
72	1	0	39895	2018-06-10 09:13:56	40072	1528593236213	9
21	1	0	41907	2018-06-10 09:13:56	40021	1528593236255	10
117	1	0	40983	2018-06-10 09:13:56	40117	1528593236539	11
37	1	0	40305	2018-06-10 09:13:56	40037	1528593236605	12
10	1	0	41128	2018-06-10 09:13:56	40010	1528593236764	13
80	1	0	39595	2018-06-10 09:13:56	40080	1528593236831	14
70	1	0	39724	2018-06-10 09:13:56	40070	1528593236870	15
124	1	0	41402	2018-06-10 09:13:56	40124	1528593236906	16
8	1	0	41515	2018-06-10 09:13:57	40008	1528593237006	17
118	1	0	40530	2018-06-10 09:13:57	40118	1528593237073	18
56	1	0	40519	2018-06-10 09:13:57	40056	1528593237140	19
13	1	0	41202	2018-06-10 09:13:57	40013	1528593237173	20
71	1	0	40207	2018-06-10 09:13:57	40071	1528593237206	21
67	1	0	39879	2018-06-10 09:13:57	40067	1528593237307	22
127	1	0	41109	2018-06-10 09:13:57	40127	1528593237340	23
41	1	0	40301	2018-06-10 09:13:57	40041	1528593237373	24
52	1	0	40371	2018-06-10 09:13:57	40052	1528593237407	25
63	1	0	40336	2018-06-10 09:13:57	40063	1528593237440	26
44	1	0	40841	2018-06-10 09:13:57	40044	1528593237473	27
43	1	0	40868	2018-06-10 09:13:57	40043	1528593237507	28
131	1	0	40449	2018-06-10 09:13:57	40131	1528593237540	29
120	1	0	40447	2018-06-10 09:13:57	40120	1528593237574	30
