id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	23	0	3	14	9	1	2018-07-23 09:12:50	40003	1532308370810	1
11	55	23	3	11	0	0	2018-07-23 09:13:00	40011	1532308380278	2
80	125	23	3	12	0	0	2018-07-23 09:13:03	40080	1532308383268	3
17	1000	23	3	10	0	0	2018-07-23 09:13:03	40017	1532308383331	4
8	37	23	3	11	2	1	2018-07-23 09:13:05	40008	1532308385330	5
10	1000	23	3	12	0	0	2018-07-23 09:13:08	40010	1532308388194	6
21	55	23	3	11	0	0	2018-07-23 09:13:10	40021	1532308390006	7
4	31	23	3	12	2	1	2018-07-23 09:13:10	40004	1532308390150	8
12	1000	23	3	10	0	0	2018-07-23 09:13:10	40012	1532308390278	9
20	1000	54	4	10	0	0	2018-07-23 09:13:11	40020	1532308391266	10
16	1000	54	4	10	0	0	2018-07-23 09:13:19	40016	1532308399266	11
63	50	177	40	10	2	1	2018-07-23 09:13:23	40063	1532308403137	12
48	1000	177	40	10	0	0	2018-07-23 09:13:23	40048	1532308403919	13
9	55	60	8	11	0	0	2018-07-23 09:13:25	40009	1532308405066	14
64	100	160	67	10	0	0	2018-07-23 09:13:29	40064	1532308409313	15
47	1000	177	40	10	0	0	2018-07-23 09:13:32	40047	1532308412399	16
67	100	60	8	10	1	1	2018-07-23 09:13:34	40067	1532308414196	17
44	22	162	38	11	0	0	2018-07-23 09:13:35	40044	1532308415030	18
70	100	227	63	10	4	1	2018-07-23 09:13:35	40070	1532308415251	19
52	50	177	40	10	2	1	2018-07-23 09:13:38	40052	1532308418423	20
50	1000	177	40	14	0	0	2018-07-23 09:13:40	40050	1532308420368	21
39	142	125	37	14	0	0	2018-07-23 09:13:43	40039	1532308423721	22
38	37	125	37	11	2	1	2018-07-23 09:13:44	40038	1532308424691	23
24	55	184	44	11	0	0	2018-07-23 09:13:45	40024	1532308425131	24
40	15	162	38	12	9	1	2018-07-23 09:13:45	40040	1532308425933	25
72	1000	327	70	10	0	0	2018-07-23 09:13:46	40072	1532308426333	26
26	71	78	13	14	0	0	2018-07-23 09:13:46	40026	1532308426651	27
32	1000	227	52	10	0	0	2018-07-23 09:13:49	40032	1532308429702	28
43	1000	177	40	11	0	0	2018-07-23 09:13:55	40043	1532308435345	29
41	100	177	40	10	0	0	2018-07-23 09:13:56	40041	1532308436405	30
66	1000	227	63	10	0	0	2018-07-23 09:13:59	40066	1532308439274	31
13	55	23	3	11	2	1	2018-07-23 09:14:00	40013	1532308440134	32
77	100	177	40	10	0	0	2018-07-23 09:14:01	40077	1532308441309	33
53	1000	177	40	14	0	0	2018-07-23 09:14:02	40053	1532308442410	34
78	1000	327	70	10	0	0	2018-07-23 09:14:03	40078	1532308443360	35
56	1000	125	37	0	0	0	2018-07-23 09:14:11	40056	1532308451389	36
33	1000	227	52	12	0	0	2018-07-23 09:14:11	40033	1532308451692	37
37	47	78	13	14	3	1	2018-07-23 09:14:13	40037	1532308453677	38
69	100	327	70	10	0	0	2018-07-23 09:14:15	40069	1532308455229	39
71	100	327	70	10	1	1	2018-07-23 09:14:23	40071	1532308463230	40
75	1000	427	71	0	0	0	2018-07-23 09:14:46	40075	1532308486252	41
