nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	111	23	10	539	20	55264	3	0	65535	0	55251	0	1	2018-07-22 20:40:47	40003	1532263247438	1
3	25	23	10	8803	67	55012	3	0	65535	0	54948	0	1	2018-07-22 20:40:55	40003	1532263255509	2
12	0	3	11	51232	11	51442	0	5	5	0	65535	0	0	2018-07-22 20:42:41	40012	1532263361173	3
10	0	3	11	51365	11	51502	0	9	9	0	60	1	0	2018-07-22 20:42:41	40010	1532263361223	4
8	0	3	11	51129	11	51524	0	9	9	0	82	1	1	2018-07-22 20:42:41	40008	1532263361289	5
11	0	3	11	51544	11	51606	0	9	9	0	164	1	0	2018-07-22 20:42:41	40011	1532263361365	6
20	0	3	11	51464	11	51662	0	6	6	0	220	0	0	2018-07-22 20:42:41	40020	1532263361423	7
38	0	13	11	49882	11	51424	12	17	5	0	188	0	0	2018-07-22 20:42:41	40038	1532263361499	8
13	0	8	11	51236	11	51192	9	12	3	0	63	1	1	2018-07-22 20:42:41	40013	1532263361533	9
21	0	13	11	51634	11	51274	12	10	65535	0	38	1	0	2018-07-22 20:42:41	40021	1532263361566	10
56	0	37	11	49197	11	49887	12	19	7	0	12	1	0	2018-07-22 20:42:41	40056	1532263361600	11
37	0	13	11	49875	11	51434	12	12	65535	0	198	0	1	2018-07-22 20:42:41	40037	1532263361633	12
69	0	70	11	49376	11	49384	12	18	6	0	48	1	1	2018-07-22 20:42:41	40069	1532263361666	13
67	0	8	11	49500	11	51566	9	14	5	0	437	0	0	2018-07-22 20:42:41	40067	1532263361700	14
80	0	3	11	49099	11	51513	0	5	5	0	71	1	1	2018-07-22 20:42:41	40080	1532263361749	15
71	0	69	11	49459	11	49473	18	21	3	0	97	1	0	2018-07-22 20:42:41	40071	1532263361817	16
75	0	69	11	50031	11	49466	18	23	5	0	90	0	0	2018-07-22 20:42:41	40075	1532263361850	17
4	0	3	11	51919	11	52008	0	5	5	0	566	0	1	2018-07-22 20:42:41	40004	1532263361883	18
70	0	72	11	49336	11	49361	12	12	65535	0	35	1	1	2018-07-22 20:42:41	40070	1532263361983	19
39	0	13	11	50183	11	51724	12	17	5	0	488	0	0	2018-07-22 20:42:42	40039	1532263362117	20
40	0	63	11	50822	11	50635	19	24	5	0	170	1	1	2018-07-22 20:42:42	40040	1532263362251	21
43	0	40	11	49970	11	50908	24	24	65535	0	86	0	1	2018-07-22 20:42:42	40043	1532263362284	22
16	0	3	11	51277	11	51593	0	9	9	0	151	1	0	2018-07-22 20:42:42	40016	1532263362317	23
