id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	17	0	3	14	9	1	2018-07-20 13:33:30	40003	1532064810177	1
8	33	17	3	10	2	1	2018-07-20 13:33:48	40008	1532064828061	2
11	100	17	3	10	0	0	2018-07-20 13:33:49	40011	1532064829009	3
80	100	17	3	10	1	1	2018-07-20 13:33:49	40080	1532064829628	4
63	28	148	70	14	3	1	2018-07-20 13:33:49	40063	1532064829974	5
21	55	17	3	11	0	0	2018-07-20 13:33:50	40021	1532064830008	6
17	1000	17	3	10	0	0	2018-07-20 13:33:50	40017	1532064830833	7
50	20	160	38	12	2	1	2018-07-20 13:33:51	40050	1532064831103	8
10	1000	17	3	10	0	0	2018-07-20 13:33:51	40010	1532064831137	9
9	100	50	8	10	0	0	2018-07-20 13:33:52	40009	1532064832753	10
52	41	176	63	12	0	0	2018-07-20 13:33:57	40052	1532064837726	11
12	1000	17	3	14	0	0	2018-07-20 13:33:59	40012	1532064839193	12
44	22	160	38	11	0	0	2018-07-20 13:34:00	40044	1532064840666	13
47	1000	177	40	14	0	0	2018-07-20 13:34:01	40047	1532064841631	14
48	1000	177	40	10	0	0	2018-07-20 13:34:03	40048	1532064843206	15
13	55	17	3	11	2	1	2018-07-20 13:34:03	40013	1532064843985	16
4	55	17	3	11	1	1	2018-07-20 13:34:04	40004	1532064844705	17
20	100	17	3	10	0	0	2018-07-20 13:34:06	40020	1532064846953	18
16	1000	72	4	10	0	0	2018-07-20 13:34:07	40016	1532064847981	19
70	31	117	80	12	5	1	2018-07-20 13:34:10	40070	1532064850007	20
64	1000	148	70	10	0	0	2018-07-20 13:34:10	40064	1532064850135	21
33	111	119	37	11	0	0	2018-07-20 13:34:11	40033	1532064851281	22
53	1000	180	50	0	0	0	2018-07-20 13:34:12	40053	1532064852272	23
38	41	119	37	12	3	1	2018-07-20 13:34:12	40038	1532064852334	24
72	1000	148	70	10	0	0	2018-07-20 13:34:13	40072	1532064853983	25
26	55	72	13	11	0	0	2018-07-20 13:34:14	40026	1532064854177	26
39	100	119	37	10	0	0	2018-07-20 13:34:17	40039	1532064857303	27
77	100	177	40	10	0	0	2018-07-20 13:34:18	40077	1532064858125	28
56	47	119	37	14	0	0	2018-07-20 13:34:19	40056	1532064859248	29
41	41	176	63	12	0	0	2018-07-20 13:34:22	40041	1532064862200	30
71	50	148	70	10	2	1	2018-07-20 13:34:22	40071	1532064862986	31
78	1000	148	70	10	0	0	2018-07-20 13:34:23	40078	1532064863129	32
40	17	160	38	12	3	1	2018-07-20 13:34:24	40040	1532064864201	33
32	1000	217	52	11	0	0	2018-07-20 13:34:27	40032	1532064867219	34
66	100	148	70	10	0	0	2018-07-20 13:34:28	40066	1532064868119	35
43	31	176	63	12	0	0	2018-07-20 13:34:28	40043	1532064868206	36
24	111	177	40	11	0	0	2018-07-20 13:34:29	40024	1532064869019	37
37	47	72	13	14	4	1	2018-07-20 13:34:29	40037	1532064869277	38
67	100	50	8	10	0	0	2018-07-20 13:34:31	40067	1532064871092	39
75	1000	198	71	10	0	0	2018-07-20 13:34:35	40075	1532064875167	40
69	1000	198	71	12	0	0	2018-07-20 13:34:45	40069	1532064885956	41
