seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	20501	2017-03-30 10:31:05	40001	1490841065541	1
2	0	30741	2017-03-30 10:31:15	40001	1490841075498	2
3	0	40981	2017-03-30 10:31:25	40001	1490841085498	3
4	0	51221	2017-03-30 10:31:35	40001	1490841095498	4
5	0	61461	2017-03-30 10:31:45	40001	1490841105494	5
6	1	6165	2017-03-30 10:31:55	40001	1490841115494	6
7	1	16405	2017-03-30 10:32:05	40001	1490841125494	7
8	1	26645	2017-03-30 10:32:15	40001	1490841135494	8
9	1	36885	2017-03-30 10:32:25	40001	1490841145495	9
10	1	47125	2017-03-30 10:32:35	40001	1490841155495	10
11	1	57365	2017-03-30 10:32:45	40001	1490841165495	11
12	2	2069	2017-03-30 10:32:55	40001	1490841175495	12
13	2	12309	2017-03-30 10:33:05	40001	1490841185495	13
