seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	11	52417	2018-07-22 21:50:27	40003	1532267427061	1
1	12	7361	2018-07-22 21:50:47	40003	1532267447061	2
2	12	27841	2018-07-22 21:51:07	40003	1532267467061	3
3	12	48321	2018-07-22 21:51:27	40003	1532267487062	4
4	13	3265	2018-07-22 21:51:47	40003	1532267507058	5
5	13	23745	2018-07-22 21:52:07	40003	1532267527058	6
6	13	44225	2018-07-22 21:52:27	40003	1532267547058	7
7	13	64705	2018-07-22 21:52:47	40003	1532267567058	8
8	14	19649	2018-07-22 21:53:07	40003	1532267587058	9
9	14	40129	2018-07-22 21:53:27	40003	1532267607059	10
10	14	60609	2018-07-22 21:53:47	40003	1532267627059	11
11	15	15553	2018-07-22 21:54:07	40003	1532267647055	12
12	15	36033	2018-07-22 21:54:27	40003	1532267667055	13
13	15	56513	2018-07-22 21:54:47	40003	1532267687055	14
14	16	11457	2018-07-22 21:55:07	40003	1532267707056	15
15	16	31937	2018-07-22 21:55:27	40003	1532267727056	16
16	16	52417	2018-07-22 21:55:47	40003	1532267747056	17
17	17	7361	2018-07-22 21:56:07	40003	1532267767056	18
18	17	27841	2018-07-22 21:56:27	40003	1532267787052	19
19	17	48321	2018-07-22 21:56:47	40003	1532267807052	20
20	18	3265	2018-07-22 21:57:07	40003	1532267827052	21
21	18	23745	2018-07-22 21:57:27	40003	1532267847053	22
22	18	44225	2018-07-22 21:57:47	40003	1532267867053	23
23	18	64705	2018-07-22 21:58:07	40003	1532267887053	24
24	19	19649	2018-07-22 21:58:27	40003	1532267907053	25
25	19	40129	2018-07-22 21:58:47	40003	1532267927049	26
26	19	60609	2018-07-22 21:59:07	40003	1532267947049	27
27	20	15553	2018-07-22 21:59:27	40003	1532267967050	28
28	20	36033	2018-07-22 21:59:47	40003	1532267987050	29
29	20	56513	2018-07-22 22:00:07	40003	1532268007050	30
30	21	11457	2018-07-22 22:00:27	40003	1532268027050	31
31	21	31937	2018-07-22 22:00:47	40003	1532268047046	32
32	21	52417	2018-07-22 22:01:07	40003	1532268067046	33
33	22	7361	2018-07-22 22:01:27	40003	1532268087047	34
34	22	27841	2018-07-22 22:01:47	40003	1532268107047	35
35	22	48321	2018-07-22 22:02:07	40003	1532268127047	36
36	23	3265	2018-07-22 22:02:27	40003	1532268147047	37
37	23	23745	2018-07-22 22:02:47	40003	1532268167047	38
38	23	44225	2018-07-22 22:03:07	40003	1532268187047	39
39	23	64705	2018-07-22 22:03:27	40003	1532268207044	40
40	24	19649	2018-07-22 22:03:47	40003	1532268227044	41
41	24	40129	2018-07-22 22:04:07	40003	1532268247044	42
42	24	60609	2018-07-22 22:04:27	40003	1532268267044	43
43	25	15553	2018-07-22 22:04:47	40003	1532268287044	44
44	25	36033	2018-07-22 22:05:07	40003	1532268307044	45
45	25	56513	2018-07-22 22:05:27	40003	1532268327045	46
46	26	11457	2018-07-22 22:05:47	40003	1532268347041	47
