id	ebw	path_ebw	elder_id	delay	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	25	0	3	0	1	2018-05-30 11:29:09	40003	1527650949281	1
17	125	25	3	16	0	2018-05-30 11:29:17	40017	1527650957965	2
10	100	25	3	11	1	2018-05-30 11:29:25	40010	1527650965145	3
21	111	25	3	20	0	2018-05-30 11:29:25	40021	1527650965229	4
16	111	80	11	27	0	2018-05-30 11:29:26	40016	1527650966417	5
20	1000	80	11	28	0	2018-05-30 11:29:29	40020	1527650969441	6
12	333	25	3	10	0	2018-05-30 11:29:31	40012	1527650971125	7
11	55	25	3	16	1	2018-05-30 11:29:32	40011	1527650972367	8
13	40	25	3	20	1	2018-05-30 11:29:36	40013	1527650976305	9
8	37	25	3	25	1	2018-05-30 11:29:39	40008	1527650979053	10
38	200	115	37	40	0	2018-05-30 11:29:41	40038	1527650981558	11
56	250	102	33	46	0	2018-05-30 11:29:42	40056	1527650982350	12
121	125	150	129	61	0	2018-05-30 11:29:46	40121	1527650986162	13
50	125	188	63	55	0	2018-05-30 11:29:46	40050	1527650986360	14
32	142	102	33	42	0	2018-05-30 11:29:46	40032	1527650986488	15
80	500	125	10	21	0	2018-05-30 11:29:48	40080	1527650988360	16
67	100	62	8	35	0	2018-05-30 11:29:49	40067	1527650989128	17
64	71	62	8	35	1	2018-05-30 11:29:49	40064	1527650989808	18
118	62	150	129	56	0	2018-05-30 11:29:51	40118	1527650991237	19
115	25	133	64	85	0	2018-05-30 11:29:51	40115	1527650991340	20
70	41	125	10	25	1	2018-05-30 11:29:51	40070	1527650991577	21
139	62	150	129	57	0	2018-05-30 11:29:53	40139	1527650993061	22
9	111	62	8	35	0	2018-05-30 11:29:53	40009	1527650993373	23
26	71	65	13	32	1	2018-05-30 11:29:53	40026	1527650993550	24
37	50	65	13	30	1	2018-05-30 11:29:53	40037	1527650993632	25
24	41	102	33	130	0	2018-05-30 11:29:54	40024	1527650994304	26
30	111	102	33	40	0	2018-05-30 11:29:54	40030	1527650994554	27
119	500	150	129	70	0	2018-05-30 11:29:55	40119	1527650995257	28
33	37	65	13	30	1	2018-05-30 11:29:55	40033	1527650995564	29
66	55	133	64	49	1	2018-05-30 11:29:57	40066	1527650997340	30
63	55	133	64	45	1	2018-05-30 11:29:57	40063	1527650997414	31
135	1000	155	123	59	0	2018-05-30 11:29:59	40135	1527650999124	32
120	71	150	129	56	0	2018-05-30 11:29:59	40120	1527650999240	33
117	55	150	129	56	0	2018-05-30 11:29:59	40117	1527650999297	34
47	100	197	40	83	0	2018-05-30 11:30:03	40047	1527651003334	35
44	111	197	40	83	0	2018-05-30 11:30:03	40044	1527651003430	36
41	25	188	63	57	0	2018-05-30 11:30:03	40041	1527651003550	37
132	500	205	122	66	0	2018-05-30 11:30:04	40132	1527651004073	38
77	47	188	66	59	0	2018-05-30 11:30:05	40077	1527651005343	39
53	1000	197	40	83	0	2018-05-30 11:30:05	40053	1527651005414	40
122	55	150	129	55	1	2018-05-30 11:30:06	40122	1527651006337	41
71	100	221	69	55	0	2018-05-30 11:30:06	40071	1527651006381	42
131	50	150	129	56	0	2018-05-30 11:30:06	40131	1527651006414	43
52	125	197	40	83	0	2018-05-30 11:30:11	40052	1527651011344	44
40	12	185	30	73	1	2018-05-30 11:30:12	40040	1527651012328	45
43	83	188	63	56	0	2018-05-30 11:30:12	40043	1527651012397	46
127	83	155	123	63	0	2018-05-30 11:30:14	40127	1527651014238	47
124	125	205	122	65	0	2018-05-30 11:30:14	40124	1527651014306	48
39	166	136	26	42	0	2018-05-30 11:30:17	40039	1527651017555	49
72	1000	166	70	35	0	2018-05-30 11:30:19	40072	1527651019323	50
48	100	197	40	83	0	2018-05-30 11:30:19	40048	1527651019399	51
123	22	133	64	49	1	2018-05-30 11:30:20	40123	1527651020160	52
78	100	166	70	35	0	2018-05-30 11:30:20	40078	1527651020355	53
129	17	133	64	45	1	2018-05-30 11:30:22	40129	1527651022041	54
69	55	166	70	41	1	2018-05-30 11:30:39	40069	1527651039071	55
75	142	221	69	55	0	2018-05-30 11:30:47	40075	1527651047333	56
