id	src	rssi	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	13	216	2018-06-11 15:52:02	40013	1528703522579	1
3	13	218	2018-06-11 15:52:02	40013	1528703522659	2
3	13	215	2018-06-11 15:52:02	40013	1528703522692	3
3	10	241	2018-06-11 15:52:02	40010	1528703522725	4
3	13	220	2018-06-11 15:52:02	40013	1528703522760	5
3	10	241	2018-06-11 15:52:02	40010	1528703522792	6
3	11	224	2018-06-11 15:52:02	40011	1528703522825	7
8	3	215	2018-06-11 15:52:02	40003	1528703522859	8
3	21	218	2018-06-11 15:52:02	40021	1528703522892	9
3	13	223	2018-06-11 15:52:02	40013	1528703522926	10
3	11	223	2018-06-11 15:52:02	40011	1528703522959	11
3	10	241	2018-06-11 15:52:02	40010	1528703522992	12
3	17	237	2018-06-11 15:52:03	40017	1528703523026	13
3	10	241	2018-06-11 15:52:03	40010	1528703523059	14
3	17	237	2018-06-11 15:52:03	40017	1528703523097	15
3	8	220	2018-06-11 15:52:03	40008	1528703523126	16
3	13	221	2018-06-11 15:52:03	40013	1528703523160	17
3	8	218	2018-06-11 15:52:03	40008	1528703523193	18
3	13	217	2018-06-11 15:52:03	40013	1528703523226	19
3	16	213	2018-06-11 15:52:03	40016	1528703523260	20
3	17	237	2018-06-11 15:52:03	40017	1528703523293	21
3	16	212	2018-06-11 15:52:03	40016	1528703523327	22
8	13	221	2018-06-11 15:52:03	40013	1528703523360	23
3	16	214	2018-06-11 15:52:03	40016	1528703523394	24
8	9	236	2018-06-11 15:52:03	40009	1528703523453	25
3	20	210	2018-06-11 15:52:03	40020	1528703523486	26
3	21	217	2018-06-11 15:52:03	40021	1528703523519	27
8	3	215	2018-06-11 15:52:03	40003	1528703523553	28
8	13	220	2018-06-11 15:52:03	40013	1528703523586	29
3	20	210	2018-06-11 15:52:03	40020	1528703523645	30
3	8	219	2018-06-11 15:52:03	40008	1528703523678	31
3	10	241	2018-06-11 15:52:03	40010	1528703523711	32
3	10	241	2018-06-11 15:52:03	40010	1528703523745	33
8	13	220	2018-06-11 15:52:03	40013	1528703523778	34
8	9	237	2018-06-11 15:52:03	40009	1528703523812	35
9	39	209	2018-06-11 15:52:03	40039	1528703523845	36
3	16	212	2018-06-11 15:52:03	40016	1528703523878	37
8	64	219	2018-06-11 15:52:03	40064	1528703523912	38
3	10	241	2018-06-11 15:52:03	40010	1528703523945	39
9	39	209	2018-06-11 15:52:03	40039	1528703523979	40
3	21	217	2018-06-11 15:52:04	40021	1528703524012	41
