id	ebw	path_ebw	elder_id	delay	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	27	0	3	0	1	2018-05-30 15:42:21	40003	1527666141738	1
11	47	27	3	11	1	2018-05-30 15:42:32	40011	1527666152994	2
12	111	27	3	10	0	2018-05-30 15:42:36	40012	1527666156114	3
8	41	27	3	12	1	2018-05-30 15:42:37	40008	1527666157111	4
63	27	96	64	32	1	2018-05-30 15:42:55	40063	1527666175248	5
64	28	68	8	22	1	2018-05-30 15:42:56	40064	1527666176447	6
13	100	74	11	27	1	2018-05-30 15:42:57	40013	1527666177114	7
9	100	68	8	22	0	2018-05-30 15:42:58	40009	1527666178182	8
50	25	123	63	42	0	2018-05-30 15:43:02	40050	1527666182345	9
66	55	96	64	33	0	2018-05-30 15:43:02	40066	1527666182419	10
10	125	27	3	16	0	2018-05-30 15:43:03	40010	1527666183002	11
67	41	68	8	22	1	2018-05-30 15:43:06	40067	1527666186449	12
17	111	27	3	11	0	2018-05-30 15:43:07	40017	1527666187854	13
21	71	27	3	12	0	2018-05-30 15:43:08	40021	1527666188246	14
20	142	74	11	25	0	2018-05-30 15:43:10	40020	1527666190782	15
16	0	74	11	23	0	2018-05-30 15:43:12	40016	1527666192911	16
70	55	96	64	38	1	2018-05-30 15:43:13	40070	1527666193446	17
39	111	148	50	58	0	2018-05-30 15:43:15	40039	1527666195278	18
47	125	141	43	54	0	2018-05-30 15:43:16	40047	1527666196433	19
119	100	146	118	52	0	2018-05-30 15:43:17	40119	1527666197097	20
32	62	241	52	68	0	2018-05-30 15:43:17	40032	1527666197389	21
48	55	141	43	53	0	2018-05-30 15:43:18	40048	1527666198386	22
40	25	123	63	46	0	2018-05-30 15:43:18	40040	1527666198421	23
56	41	146	41	66	1	2018-05-30 15:43:18	40056	1527666198463	24
120	37	113	129	42	1	2018-05-30 15:43:18	40120	1527666198846	25
37	83	174	13	37	0	2018-05-30 15:43:19	40037	1527666199252	26
139	50	113	129	42	1	2018-05-30 15:43:19	40139	1527666199635	27
33	142	187	56	76	0	2018-05-30 15:43:21	40033	1527666201388	28
26	100	191	38	63	0	2018-05-30 15:43:22	40026	1527666202296	29
127	100	116	123	43	0	2018-05-30 15:43:22	40127	1527666202724	30
129	17	96	64	32	1	2018-05-30 15:43:23	40129	1527666203072	31
52	100	141	43	56	1	2018-05-30 15:43:23	40052	1527666203361	32
121	62	113	129	48	0	2018-05-30 15:43:24	40121	1527666204148	33
24	62	146	41	60	0	2018-05-30 15:43:25	40024	1527666205113	34
43	18	123	63	42	1	2018-05-30 15:43:27	40043	1527666207347	35
115	71	113	129	42	0	2018-05-30 15:43:28	40115	1527666208169	36
41	23	123	63	46	1	2018-05-30 15:43:28	40041	1527666208384	37
131	28	109	67	32	0	2018-05-30 15:43:29	40131	1527666209119	38
123	20	96	64	33	1	2018-05-30 15:43:29	40123	1527666209147	39
44	62	141	43	52	0	2018-05-30 15:43:29	40044	1527666209433	40
80	100	27	3	11	0	2018-05-30 15:43:30	40080	1527666210447	41
38	50	141	43	52	1	2018-05-30 15:43:33	40038	1527666213265	42
30	125	187	56	78	0	2018-05-30 15:43:33	40030	1527666213313	43
77	125	141	43	52	0	2018-05-30 15:43:33	40077	1527666213373	44
72	0	151	70	48	0	2018-05-30 15:43:33	40072	1527666213434	45
135	166	116	123	43	0	2018-05-30 15:43:34	40135	1527666214113	46
117	37	113	129	42	0	2018-05-30 15:43:34	40117	1527666214204	47
78	100	151	70	48	0	2018-05-30 15:43:35	40078	1527666215443	48
118	33	113	129	42	1	2018-05-30 15:43:36	40118	1527666216143	49
122	62	113	129	42	0	2018-05-30 15:43:37	40122	1527666217129	50
71	62	221	132	67	1	2018-05-30 15:43:41	40071	1527666221451	51
124	166	163	139	53	0	2018-05-30 15:43:41	40124	1527666221815	52
132	71	150	120	53	1	2018-05-30 15:43:52	40132	1527666232103	53
69	100	283	71	77	0	2018-05-30 15:44:16	40069	1527666256206	54
75	125	283	71	77	0	2018-05-30 15:44:16	40075	1527666256380	55
