link[43, 48]: quality 1, rssi -87.6
link[43, 50]: quality 1, rssi -66.5
link[43, 52]: quality 1, rssi -86.6
link[43, 53]: quality 0.9, rssi -86.6666666666667
link[43, 63]: quality 1, rssi -76.3
link[43, 77]: quality 1, rssi -70
Node 43 has 11 neighbors.
link[44, 38]: quality 1, rssi -82.9
link[44, 40]: quality 1, rssi -77.3
link[44, 41]: quality 1, rssi -81.8
link[44, 43]: quality 1, rssi -66.3
link[44, 47]: quality 0.9, rssi -82.1111111111111
link[44, 52]: quality 0.6, rssi -89.6666666666667
Node 44 has 6 neighbors.
link[47, 40]: quality 1, rssi -60.9
link[47, 41]: quality 1, rssi -66
link[47, 43]: quality 1, rssi -67.5
link[47, 44]: quality 1, rssi -84.9
link[47, 48]: quality 1, rssi -62.1
link[47, 52]: quality 1, rssi -77.4
link[47, 56]: quality 0.3, rssi -89.6666666666667
Node 47 has 7 neighbors.
link[48, 40]: quality 1, rssi -73.8
link[48, 41]: quality 1, rssi -76.8
link[48, 43]: quality 1, rssi -85.8
link[48, 47]: quality 1, rssi -62.1
link[48, 52]: quality 1, rssi -67.4
Node 48 has 5 neighbors.
link[50, 38]: quality 0.7, rssi -82.2857142857143
link[50, 39]: quality 0.9, rssi -84
link[50, 40]: quality 1, rssi -73.9
link[50, 41]: quality 1, rssi -77.9
link[50, 43]: quality 1, rssi -68.1
link[50, 52]: quality 0.9, rssi -88.4444444444444
link[50, 53]: quality 1, rssi -68.2
link[50, 63]: quality 0.8, rssi -80.25
link[50, 77]: quality 1, rssi -76.3
Node 50 has 9 neighbors.
link[52, 32]: quality 1, rssi -91.1
link[52, 40]: quality 1, rssi -76.2
link[52, 41]: quality 1, rssi -61
link[52, 43]: quality 1, rssi -87.9
link[52, 47]: quality 1, rssi -82
link[52, 48]: quality 1, rssi -70
link[52, 50]: quality 0.8, rssi -90
link[52, 56]: quality 1, rssi -90.2
Node 52 has 8 neighbors.
link[53, 40]: quality 1, rssi -87.9
