id	ebw	path_ebw	elder_id	delay	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	142	0	3	0	1	2018-05-30 13:07:51	40003	1527656871549	1
50	83	279	63	84	0	2018-05-30 13:08:03	40050	1527656883730	2
16	142	197	11	25	0	2018-05-30 13:08:05	40016	1527656885011	3
44	111	301	40	104	0	2018-05-30 13:08:08	40044	1527656888116	4
70	111	267	12	22	1	2018-05-30 13:08:09	40070	1527656889928	5
13	66	142	3	33	1	2018-05-30 13:08:10	40013	1527656890655	6
8	37	142	3	14	1	2018-05-30 13:08:10	40008	1527656890815	7
64	142	179	8	26	0	2018-05-30 13:08:11	40064	1527656891145	8
9	83	179	8	24	0	2018-05-30 13:08:13	40009	1527656893639	9
139	37	278	66	58	1	2018-05-30 13:08:13	40139	1527656893699	10
12	125	142	3	10	1	2018-05-30 13:08:13	40012	1527656893733	11
21	250	142	3	16	0	2018-05-30 13:08:13	40021	1527656893887	12
10	500	142	3	12	0	2018-05-30 13:08:17	40010	1527656897799	13
80	166	142	3	12	0	2018-05-30 13:08:18	40080	1527656898218	14
66	33	245	67	38	1	2018-05-30 13:08:18	40066	1527656898279	15
20	111	197	11	36	0	2018-05-30 13:08:18	40020	1527656898776	16
63	47	232	67	74	1	2018-05-30 13:08:19	40063	1527656899142	17
11	55	142	3	11	1	2018-05-30 13:08:21	40011	1527656901515	18
17	111	142	3	12	0	2018-05-30 13:08:21	40017	1527656901701	19
47	55	301	40	104	0	2018-05-30 13:08:23	40047	1527656903463	20
38	50	274	37	53	0	2018-05-30 13:08:24	40038	1527656904003	21
56	250	241	33	54	0	2018-05-30 13:08:25	40056	1527656905115	22
41	28	279	63	94	0	2018-05-30 13:08:25	40041	1527656905167	23
117	13	245	67	124	1	2018-05-30 13:08:25	40117	1527656905736	24
53	200	301	40	104	0	2018-05-30 13:08:25	40053	1527656905792	25
122	500	291	129	144	0	2018-05-30 13:08:26	40122	1527656906696	26
78	100	378	70	38	0	2018-05-30 13:08:26	40078	1527656906884	27
71	62	378	132	175	1	2018-05-30 13:08:27	40071	1527656907283	28
132	83	295	120	159	1	2018-05-30 13:08:29	40132	1527656909744	29
67	66	179	8	24	1	2018-05-30 13:08:31	40067	1527656911507	30
43	166	279	63	84	0	2018-05-30 13:08:32	40043	1527656912468	31
40	22	279	63	94	1	2018-05-30 13:08:32	40040	1527656912525	32
124	500	315	139	69	0	2018-05-30 13:08:32	40124	1527656912816	33
115	41	258	117	134	0	2018-05-30 13:08:33	40115	1527656913724	34
118	125	258	117	134	0	2018-05-30 13:08:33	40118	1527656913787	35
121	100	258	117	135	0	2018-05-30 13:08:33	40121	1527656913818	36
52	333	301	40	104	0	2018-05-30 13:08:34	40052	1527656914128	37
72	100	279	63	124	0	2018-05-30 13:08:34	40072	1527656914236	38
26	50	208	13	44	1	2018-05-30 13:08:35	40026	1527656915967	39
33	33	208	13	43	1	2018-05-30 13:08:37	40033	1527656917989	40
69	100	378	70	36	0	2018-05-30 13:08:38	40069	1527656918233	41
30	500	241	33	53	0	2018-05-30 13:08:38	40030	1527656918992	42
37	66	208	13	43	1	2018-05-30 13:08:39	40037	1527656919051	43
48	100	301	40	104	0	2018-05-30 13:08:39	40048	1527656919774	44
123	55	245	67	35	0	2018-05-30 13:08:40	40123	1527656920794	45
135	500	258	117	134	0	2018-05-30 13:08:41	40135	1527656921707	46
129	33	258	117	134	1	2018-05-30 13:08:42	40129	1527656922787	47
77	200	278	66	48	0	2018-05-30 13:08:44	40077	1527656924145	48
120	37	258	117	134	1	2018-05-30 13:08:44	40120	1527656924820	49
24	55	241	33	59	0	2018-05-30 13:08:44	40024	1527656924868	50
32	125	241	33	54	0	2018-05-30 13:08:44	40032	1527656924984	51
131	18	245	67	34	0	2018-05-30 13:08:48	40131	1527656928819	52
119	111	258	117	134	0	2018-05-30 13:08:49	40119	1527656929734	53
127	55	258	117	136	0	2018-05-30 13:08:56	40127	1527656936714	54
39	71	258	26	54	0	2018-05-30 13:08:59	40039	1527656939971	55
75	0	404	71	95	0	2018-05-30 13:09:08	40075	1527656948113	56
