id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	27	0	3	16	10	1	2018-07-19 10:43:48	40003	1531968228122	1
21	55	27	3	11	0	0	2018-07-19 10:43:58	40021	1531968238414	2
8	33	27	3	10	3	1	2018-07-19 10:43:59	40008	1531968239506	3
16	142	27	3	14	0	0	2018-07-19 10:44:00	40016	1531968240214	4
63	27	107	64	16	6	1	2018-07-19 10:44:01	40063	1531968241148	5
64	47	60	8	14	3	1	2018-07-19 10:44:01	40064	1531968241727	6
72	100	127	80	10	0	0	2018-07-19 10:44:02	40072	1531968242565	7
17	1000	27	3	12	0	0	2018-07-19 10:44:03	40017	1531968243206	8
80	100	27	3	10	1	1	2018-07-19 10:44:03	40080	1531968243583	9
10	100	27	3	10	0	0	2018-07-19 10:44:05	40010	1531968245390	10
66	100	107	64	10	0	0	2018-07-19 10:44:07	40066	1531968247745	11
70	83	107	64	16	3	1	2018-07-19 10:44:08	40070	1531968248599	12
4	47	27	3	14	2	1	2018-07-19 10:44:09	40004	1531968249958	13
12	142	27	3	14	0	0	2018-07-19 10:44:10	40012	1531968250106	14
20	1000	27	3	16	0	0	2018-07-19 10:44:11	40020	1531968251084	15
44	62	140	38	12	0	0	2018-07-19 10:44:13	40044	1531968253632	16
11	125	27	3	12	0	0	2018-07-19 10:44:14	40011	1531968254254	17
47	1000	161	43	10	0	0	2018-07-19 10:44:19	40047	1531968259691	18
50	37	134	63	11	0	0	2018-07-19 10:44:20	40050	1531968260177	19
39	100	105	37	10	0	0	2018-07-19 10:44:21	40039	1531968261740	20
38	35	105	37	14	1	1	2018-07-19 10:44:23	40038	1531968263017	21
40	31	134	63	12	0	0	2018-07-19 10:44:24	40040	1531968264140	22
9	50	60	8	10	0	0	2018-07-19 10:44:25	40009	1531968265190	23
33	62	105	37	12	1	1	2018-07-19 10:44:27	40033	1531968267830	24
26	1000	105	37	10	0	0	2018-07-19 10:44:29	40026	1531968269116	25
37	31	74	4	12	5	1	2018-07-19 10:44:30	40037	1531968270004	26
13	62	74	4	12	0	0	2018-07-19 10:44:30	40013	1531968270978	27
48	1000	161	43	0	0	0	2018-07-19 10:44:31	40048	1531968271623	28
24	125	165	40	12	0	0	2018-07-19 10:44:32	40024	1531968272030	29
43	27	134	63	11	3	1	2018-07-19 10:44:32	40043	1531968272359	30
41	47	134	63	14	0	0	2018-07-19 10:44:34	40041	1531968274376	31
67	142	60	8	14	0	0	2018-07-19 10:44:34	40067	1531968274558	32
52	50	134	63	10	0	0	2018-07-19 10:44:35	40052	1531968275182	33
32	1000	167	33	14	0	0	2018-07-19 10:44:38	40032	1531968278749	34
77	100	134	63	10	0	0	2018-07-19 10:44:39	40077	1531968279582	35
53	1000	161	43	16	0	0	2018-07-19 10:44:40	40053	1531968280607	36
56	142	105	37	14	0	0	2018-07-19 10:44:40	40056	1531968280667	37
78	1000	190	70	0	0	0	2018-07-19 10:44:41	40078	1531968281588	38
69	100	190	70	10	1	1	2018-07-19 10:44:44	40069	1531968284616	39
71	100	190	70	10	0	0	2018-07-19 10:45:01	40071	1531968301647	40
75	1000	290	69	0	0	0	2018-07-19 10:45:06	40075	1531968306548	41
